2025-08-19T16:11:25.662969Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:a.pdf -> a.pdf.locked"
2025-08-19T16:11:25.663923Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:b.docx -> b.docx.locked"
2025-08-19T16:11:25.664677Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:invoice_2025.pdf -> invoice_2025.pdf.locked"
2025-08-19T16:11:25.665388Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:resume.docx -> resume.docx.locked"
2025-08-19T16:11:25.666159Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="summary: changed=4 note=README.txt"
2025-08-19T16:11:37.791459Z | protocol=FILE | type=ransomware | ip=127.0.0.1 | action="summary: changed=0 note=README.txt"
2025-08-19T16:12:03.883208Z | protocol=FILE | type=ransomware | ip=127.0.0.1 | action="summary: changed=0 note=README.txt"
2025-08-19T16:12:12.154174Z | protocol=FILE | type=ransomware | ip=192.168.1.77 | action="summary: changed=0 note=README.txt"
2025-08-20T14:27:23.789617Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:a.pdf -> a.pdf.locked"
2025-08-20T14:27:23.790429Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:b.docx -> b.docx.locked"
2025-08-20T14:27:23.791534Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:invoice_2025.pdf -> invoice_2025.pdf.locked"
2025-08-20T14:27:23.792463Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:resume.docx -> resume.docx.locked"
2025-08-20T14:27:23.793401Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="summary: changed=4 note=README.txt"
2025-08-20T14:34:38.006641Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:a.pdf -> a.pdf.locked"
2025-08-20T14:34:38.007793Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:b.docx -> b.docx.locked"
2025-08-20T14:34:38.008512Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:invoice_2025.pdf -> invoice_2025.pdf.locked"
2025-08-20T14:34:38.009169Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:resume.docx -> resume.docx.locked"
2025-08-20T14:34:38.010725Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="summary: changed=4 note=README.txt"
2025-08-20T14:39:47.369820Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:a.pdf -> a.pdf.locked"
2025-08-20T14:39:47.370726Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:b.docx -> b.docx.locked"
2025-08-20T14:39:47.371615Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:invoice_2025.pdf -> invoice_2025.pdf.locked"
2025-08-20T14:39:47.373429Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:resume.docx -> resume.docx.locked"
2025-08-20T14:39:47.374442Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="summary: changed=4 note=README.txt"
2025-08-20T14:46:36.915170Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:a.pdf -> a.pdf.locked"
2025-08-20T14:46:36.915871Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:b.docx -> b.docx.locked"
2025-08-20T14:46:36.916460Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:invoice_2025.pdf -> invoice_2025.pdf.locked"
2025-08-20T14:46:36.916987Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:resume.docx -> resume.docx.locked"
2025-08-20T14:46:36.917919Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="summary: changed=4 note=README.txt"
2025-08-20T15:00:45.690325Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:a.pdf -> a.pdf.locked"
2025-08-20T15:00:45.691017Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:b.docx -> b.docx.locked"
2025-08-20T15:00:45.691619Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:invoice_2025.pdf -> invoice_2025.pdf.locked"
2025-08-20T15:00:45.692155Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:resume.docx -> resume.docx.locked"
2025-08-20T15:00:45.692895Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="summary: changed=4 note=README.txt"
2025-08-20T17:32:25.295506Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:a.pdf -> a.pdf.locked"
2025-08-20T17:32:25.297991Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:b.docx -> b.docx.locked"
2025-08-20T17:32:25.298780Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:invoice_2025.pdf -> invoice_2025.pdf.locked"
2025-08-20T17:32:25.299505Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:resume.docx -> resume.docx.locked"
2025-08-20T17:32:25.301261Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="summary: changed=4 note=README.txt"
2025-08-20T17:56:15.118484Z | protocol=FILE | type=ransomware | ip=127.0.0.1 | action="summary: changed=0 note=README.txt"
2025-08-21T10:05:15.510970Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:a.pdf -> a.pdf.locked"
2025-08-21T10:05:15.511581Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:b.docx -> b.docx.locked"
2025-08-21T10:05:15.512138Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:invoice_2025.pdf -> invoice_2025.pdf.locked"
2025-08-21T10:05:15.512696Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:resume.docx -> resume.docx.locked"
2025-08-21T10:05:15.513264Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="summary: changed=4 note=README.txt"
2025-08-21T10:06:18.418015Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:a.pdf -> a.pdf.locked"
2025-08-21T10:06:18.418581Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:b.docx -> b.docx.locked"
2025-08-21T10:06:18.419099Z | protocol=FILE | type=ransomware | ip=10.0.0.9 | action="lock:invoice_2025.pdf -> invoice_2025.pdf.locked"
